"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Identifying Scalability Debt in Open Systems","G. K. Hanssen; G. Brataas; A. Martini","SINTEF Digital, Trondheim, Norway; SINTEF Digital, Trondheim, Norway; Department of Informatics, University of Oslo, Norway","2019 IEEE/ACM International Conference on Technical Debt (TechDebt)","5 Aug 2019","2019","","","48","52","Architectural technical debt can be generated by changes in the business and the environment of an organization. In this paper, we emphasize the change in scalability requirements due to new regulations. Scalability is the ability of a system to handle an increased workload. For complex systems that are abruptly exposed via open interfaces and hence a greater workload, the scalability requirements may quickly increase, leading to technical debt. We term this scalability debt. This paper describes scalability triage, a light-weight, novel technique for identifying scalability threats as a form of technical debt. We illustrate this technique with an open banking case from a large software organization. Open banking is partly caused by the new European PSD2 regulative that enforce banks to open interfaces to unknown third-party actors. Banking systems are well-established, mature systems. However, with the advent of open banking and PSD2, the workload may quickly rocket. This leads to tougher scalability requirements and accumulated architectural debt, despite previously sound architectural decisions. Using scalability triage, such risks may be identified fast. It will then be possible to prevent this form of technical debt with timely reengineering.","","978-1-7281-3371-3","10.1109/TechDebt.2019.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8785983","agile development, scalability requirements, scalability triage, open banking","Hafnium;Germanium","","3","","15","IEEE","5 Aug 2019","","","IEEE","IEEE Conferences"
"An Empirically Developed Method to Aid Decisions on Architectural Technical Debt Refactoring: AnaConDebt","A. Martini; J. Bosch","Software Engineering Division, Chalmers University of Technology, Gothenburg, Sweden; Software Engineering Division, Chalmers University of Technology, Gothenburg, Sweden","2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C)","23 Mar 2017","2016","","","31","40","Architectural Technical Debt is regarded as sub-optimal architectural solutions that need to be refactored in order to avoid the payment of a costly interest in the future. However, decisions on if and when to refactor architecture are extremely important and difficult to take, since changing software at the architectural level is quite expensive. Therefore it is important, for software organizations, to have methods and tools that aid architects and managers to understand if Architecture Technical Debt will generate a costly and growing interest to be paid or not. Current knowledge, especially empirically developed and evaluated, is quite scarce. In this paper we developed and evaluated a method, AnaConDebt, by analyzing, together with several practitioners, 12 existing cases of Architecture Debt in 6 companies. The method has been refined several times in order to be useful and effective in practice. We also report the evaluation of the method with a final case, for which we present anonymized results and subsequent refactoring decisions. The method consists of several components that need to be analyzed, combining the theoretical Technical Debt framework and the practical experience of the practitioners, in order to identify the key factors involved in the growth of interest. The output of the method shows summarized indicators that visualizes the factors in a useful way for the stakeholders. This analysis aids the practitioners in deciding on if and when to refactor Architectural Technical Debt items. The method has been evaluated and has been proven useful to support the architects into systematically analyze and decide upon a case.","","978-1-4503-4205-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883286","Architectural Technical Debt;refactoring;decision making;estimation;method;design research;empirical study","Computer architecture;Software;Stakeholders;Companies;Software engineering","","3","","21","","23 Mar 2017","","","IEEE","IEEE Conferences"
"Evaluating the Architectural Debt of IoT Projects","F. A. Fontana; I. Pigazzini","University of Milano - Bicocca, Milan, Italy; University of Milano - Bicocca, Milan, Italy","2021 IEEE/ACM 3rd International Workshop on Software Engineering Research and Practices for the IoT (SERP4IoT)","24 Aug 2021","2021","","","27","31","We observed a great and increasing interest in the last few years towards the evaluation of technical debt of software projects, in particular in the direction of code and architectural debt evaluation. This kind of analysis has not yet been performed for IoT projects. Hence, in this paper we start this exploration through the analysis of four Open Source IoT projects. We focus our attention on architectural debt and we exploit a tool, called Arcan, developed for architectural smell detection and for the computation of an architectural debt index. The results show that also IoT projects are subjected to architectural debt, and in particular to the presence of Cyclic Dependency and Unstable Dependency smells. However, there is evidence that the continuous refactoring of the code helps in avoiding the increase of debt, hence also developers of IoT projects should schedule periodical clean-ups of their code.","","978-1-6654-4569-6","10.1109/SERP4IoT52556.2021.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9516817","IoT Projects;Architectural Debt;Architectural Smells;Architectural Debt Index","Schedules;Conferences;Tools;Software;Indexes;Software engineering","","","","15","IEEE","24 Aug 2021","","","IEEE","IEEE Conferences"
"Detecting and Quantifying Architectural Debt: Theory and Practice","Yuanfang Cai; R. Kazman","Computer Science Department, Drexel University Philadelphia, PA, USA; Shidler College of Business, University of Hawaii, Honolulu, HI, USA","2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)","24 Aug 2017","2017","","","503","504","In this technical briefing, we will introduce the theory, practice, and tool support for detecting and quantifying architectural debt. We will introduce the concept of design rule space (DRSpace)-a new architectural model forming the foundation of architectural debt detection, hotspot patterns- recurring architectural flaws leading to architectural debt, and architectural debt quantification.","","978-1-5386-1589-8","10.1109/ICSE-C.2017.165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965404","software architecture;technical debt;software design","Tools;Computer architecture;Software systems;Computer bugs;Software architecture","","","","10","IEEE","24 Aug 2017","","","IEEE","IEEE Conferences"
"Mitigating Technical and Architectural Debt with Sonargraph","A. von Zitzewitz","Hello2morrow, Inc., Plymouth, MA, USA","2019 IEEE/ACM International Conference on Technical Debt (TechDebt)","5 Aug 2019","2019","","","66","67","Sonargraph is a static analyzer with a focus on software architecture and metrics. The motivation to create Sonargraph came from the assumption that architectural debt (aka structural debt) is the most toxic form of technical debt. Repairing a broken architecture requires global and high-risk changes, while fixing other forms of technical debt mostly involves low-risk local changes. Therefore, the tool enables architects and developers to formally describe their architectural blueprint using a custom DSL (domain specific language). Once defined architectural rules can be checked and enforced in an automated way in all stages of the development process. This guarantees that a software system will never end up as the notorious ""big ball of mud"". Sonargraph currently supports Java, C#, C/C++ and Python and is used by hundreds of organizations worldwide.","","978-1-7281-3371-3","10.1109/TechDebt.2019.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8786002","software architecture enforcement;architectural debt;software metrics","Computer architecture;DSL;Connectors;Visualization;Software metrics;Detectors","","5","","2","IEEE","5 Aug 2019","","","IEEE","IEEE Conferences"
"The Influence of Cognitive Biases on Architectural Technical Debt","K. Borowa; A. Zalewski; S. Kijas","Warsaw University of Technology, Institute of Control and Computation Engineering, Warsaw, Poland; Warsaw University of Technology, Institute of Control and Computation Engineering, Warsaw, Poland; Warsaw University of Technology, Institute of Control and Computation Engineering, Warsaw, Poland","2021 IEEE 18th International Conference on Software Architecture (ICSA)","11 May 2021","2021","","","115","125","Cognitive biases exert a significant influence on human thinking and decision-making. In order to identify how they influence the occurrence of architectural technical debt, a series of semi-structured interviews with software architects was performed. The results show which classes of architectural technical debt originate from cognitive biases, and reveal the antecedents of technical debt items (classes) through biases. This way, we analysed how and when cognitive biases lead to the creation of technical debt. We also identified a set of debiasing techniques that can be used in order to prevent the negative influence of cognitive biases. The observations of the role of organisational culture in the avoidance of inadvertent technical debt throw a new light on that issue.","","978-1-7281-6260-7","10.1109/ICSA51549.2021.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426715","Software Architecture;Cognitive Bias;Technical Debt;Architectural Technical Debt;Architectural DecisionMaking","Software architecture;Conferences;Decision making;Software;Organizational aspects;Interviews","","5","","28","IEEE","11 May 2021","","","IEEE","IEEE Conferences"
"An Architectural Technical Debt Index Based on Machine Learning and Architectural Smells","D. Sas; P. Avgeriou","Bernoulli Institute for Mathematics, Computer Science, and Artificial Intelligence, University of Groningen, Groningen, Netherlands; Bernoulli Institute for Mathematics, Computer Science, and Artificial Intelligence, University of Groningen, Groningen, Netherlands","IEEE Transactions on Software Engineering","14 Aug 2023","2023","49","8","4169","4195","A key aspect of technical debt (TD) management is the ability to measure the amount of principal accumulated in a system. The current literature contains an array of approaches to estimate TD principal, however, only a few of them focus specifically on architectural TD, but none of them satisfies all three of the following criteria: being fully automated, freely available, and thoroughly validated. Moreover, a recent study has shown that many of the current approaches suffer from certain shortcomings, such as relying on hand-picked thresholds. In this article, we propose a novel approach to estimate architectural technical debt principal based on machine learning and architectural smells to address such shortcomings. Our approach can estimate the amount of technical debt principal generated by a single architectural smell instance. To do so, we adopt novel techniques from Information Retrieval to train a learning-to-rank machine learning model (more specifically, a gradient boosting machine) that estimates the severity of an architectural smell and ensure the transparency of the predictions. Then, for each instance, we statically analyse the source code to calculate the exact number of lines of code creating the smell. Finally, we combine these two values to calculate the technical debt principal. To validate the approach, we conducted a case study and interviewed 16 practitioners, from both open source and industry, and asked them about their opinions on the TD principal estimations for several smells detected in their projects. The results show that for 71% of instances, practitioners agreed that the estimations provided were representative of the effort necessary to refactor the smell.","1939-3520","","10.1109/TSE.2023.3286179","ITEA3 research project(grant numbers:17038 VISDOM); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10152491","Machine learning;technical debt;architectural smells;arcan;learning-to-rank;case study","Codes;Estimation;Indexes;Couplings;Standards;Source coding;Shape","","1","","88","IEEE","14 Jun 2023","","","IEEE","IEEE Journals"
"Is Self-Admitted Technical Debt a Good Indicator of Architectural Divergences?","G. Sierra; A. Tahmid; E. Shihab; N. Tsantalis","Data-driven Analysis of Software (DAS) Lab, Concordia University, Montreal, Canada; Department of Computer Science and Software Engineering, Concordia University, Montreal, Canada; Data-driven Analysis of Software (DAS) Lab, Concordia University, Montreal, Canada; Department of Computer Science and Software Engineering, Concordia University, Montreal, Canada","2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER)","18 Mar 2019","2019","","","534","543","Large software systems tend to be highly complex and often contain unaddressed issues that evolve from bad design practices or architectural implementations that drift from definition. These design flaws can originate from quick fixes, hacks or shortcuts to a solution, hence they can be seen as Technical Debt. Recently, new work has focused on studying source code comments that indicate Technical Debt, i.e., Self-Admitted Technical Debt (SATD). However, it is not known if addressing information left by developers in the form source code comments can give insight about the design flaws in a system and have the potential to provide fixes for bad architectural implementations. This paper investigates the possibility of using SATD comments to resolve architectural divergences. We leverage a data set of previously classified SATD comments to trace them to the architectural divergences of a large open source system, namely ArgoUML. We extract its conceptual and concrete architectures based on available design documentation and source code, and contrast both to expose divergences, trace them to SATD comments, and investigate their resolution. We found 7 high-level divergences in ArgoUML and 22 others among its subsystems, observing that merely 4 out of 29 (14%) divergences can be directly traced to SATD. Although using SATD as an indicator of architectural divergences is viable, the effort of doing so is time-intensive, and in general, will not lend to a significant reduction of architectural flaws in a software system.","1534-5351","978-1-7281-0591-8","10.1109/SANER.2019.8667999","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8667999","Self-Admitted Technical Debt;Software Re-Engineering;Software Architecture;Architecture Recovery","Documentation;Software systems;Computer architecture;Tools;Task analysis;Information services;Electronic publishing","","6","","22","IEEE","18 Mar 2019","","","IEEE","IEEE Conferences"
"Towards Prioritizing Architecture Technical Debt: Information Needs of Architects and Product Owners","A. Martini; J. Bosch","Chalmers University of Technology Software Engineering Division, Göteborg, Sweden; Chalmers University of Technology Software Engineering Division, Göteborg, Sweden","2015 41st Euromicro Conference on Software Engineering and Advanced Applications","26 Oct 2015","2015","","","422","429","Architectural Technical Debt is a metaphor for representing sub-optimal architectural solutions that might cause an interest, in terms of effort or quality, to be paid by the organization in the long run. Such metaphor has been regarded as useful for communicating risks of suboptimal solutions between technical and non-technical stakeholders. However, it's fundamental to understand the information needs of the involved stakeholders in order to produce technical debt measurements that would allow proper communication and informed prioritization. We have investigated, through a combination of interviews, observations and a survey, what key information is needed by agile product owners and software architects in order to prioritize the refactoring of risky architectural technical debt items with respect to feature development.","2376-9505","978-1-4673-7585-6","10.1109/SEAA.2015.78","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7302484","Architecture Technical Debt;Prioritization Aspects;Feature Prioritization;Refactoring Prioritization;Information Need","Companies;Software;Computer architecture;Maintenance engineering;Portfolios;Conferences","","14","","18","IEEE","26 Oct 2015","","","IEEE","IEEE Conferences"
"The Hidden Cost of Backward Compatibility: When Deprecation Turns into Technical Debt - An Experience Report","A. Sundelin; J. Gonzalez-Huerta; K. Wnuk","Blekinge Institute of Technology, Karlskrona, Sweden; Blekinge Institute of Technology, Karlskrona, Sweden; Blekinge Institute of Technology, Karlskrona, Sweden","2020 IEEE/ACM International Conference on Technical Debt (TechDebt)","9 Aug 2023","2020","","","67","76","Context: The micro-services architectural pattern advocates for the partitioning of functionality into loosely coupled services, which should be backward compatible, to enable independent upgrades. Deprecation is commonly used as a tool to manage multiple versions of methods or services. However, deprecation carries a cost in that tests might be duplicated and might rely on services that have become deprecated over time.Objective: Using the terms of the Technical Debt metaphor, we explore the consequences of deprecation, and how it has affected the test base during seven years.Method: We take an exploratory approach, reporting on experiences found before and after servicing parts of the incurred Technical Debt. We mine code repositories and validate our findings with experienced developers.Results: We found that the growth of deprecation debt varied a lot. Some services experienced substantial growth, but most did not. Unit tests, where deprecation is visible in the developers’ tools, were much less affected than integration tests, which lack such visualization mechanisms. While servicing debt of 121 out of 285 deprecated services, we discovered that up to 29% of the spent effort could be attributed to accrued interest. However, this is an upper bound; there could be less impact, depending on whether scripting could be used to service the debt or not.Conclusion: This paper illustrates that integration tests can be viewed as a debt from the perspective of deprecated services. While the pattern was that deprecated services (debt principal) experienced no or little accrued interest, some, highly used, services experienced a lot, particularly during stressful times. Java-based tests, where deprecation is visible in the IDE, did not experience a similar pattern of increasing debt. We postulate that deprecation debt should be kept visible, either using developer tools or statistical reports.","","978-1-4503-7960-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10206868","backwards compatibility;deprecation;technical debt;automated test base","Visualization;Cloud computing;Costs;Upper bound;Codes;Agile software development;Software","","","","13","","9 Aug 2023","","","IEEE","IEEE Conferences"
